a16z crypto,Menlo Park + NYC,Office,NYC,Mega-platform,Fund 5 $2.2B; $9.8B total,Seed to growth; $10-60M,"Stablecoins, tokenization, perps, prediction mkts, AI","Chris Dixon, Ali Yahya","Coinbase, Uniswap, Solana",CSX accelerator; active recruiting; Dixon = Columbia alum,S2,R,Full detail on VC Fund Database tab; On working tab
Union Square Ventures,"New York, NY",HQ,NYC,Generalist w/ crypto,$625M (2022 funds),Series A equity; small funds,Thesis 3.0; crypto since 2013,"Fred Wilson, Brad Burnham","Coinbase, Uniswap, Polygon",Analyst/fellow history; rewards writing,S1,R,Full detail on VC Fund Database tab; On working tab
Fintech Collective,"New York, NY",HQ,NYC,Fintech VC w/ crypto,~$500M AUM,Seed/A; $500K-4M equity,"Stablecoins, payments, capital markets","Brooks Gibbins, Gareth Jones",171 investments,"Newsletter, Layer One, Stablecon",S1,R,Full detail on VC Fund Database tab; On working tab
RRE Ventures,"New York, NY",HQ,NYC,Generalist w/ crypto,~$2.5B AUM,Seed/A equity,Generalist + crypto focus area,Long-standing partnership,"Ripple, Paxos, Blockdaemon, Bitnomial",NYC brand,S2,R,Full detail on VC Fund Database tab
Insight Partners,"New York, NY",HQ,NYC,Growth w/ crypto episodic,~$90B AUM,Growth equity,Crypto opportunistic,-,TaxBit; FTX (historic),Portal's Fisher is an alum,S3,R,Full detail on VC Fund Database tab
Thrive Capital,"New York, NY",HQ,NYC,"Growth, minimal crypto",Thrive X $10B (2026),Growth equity,AI/consumer core,Josh Kushner,"OpenAI, Stripe",Peripheral,Monitor,R,Full detail on VC Fund Database tab
Deviation Capital (ex-Two Sigma V),"New York, NY",HQ,NYC,Generalist w/ crypto sleeve,~$400M (2022),Equity,~15% crypto/web3,-,"Pyth, Omni",Verify rebrand,S3,R,Full detail on VC Fund Database tab
Valor Capital Group,"New York, NY",HQ,NYC,US-LatAm crossover,~$2.2B AUM,Multi-stage equity,Crypto opportunistic,Sobel family,"Coinbase, Bitso",Brazil angle is differentiated,S2,R,Full detail on VC Fund Database tab
VanEck Ventures,"New York, NY",HQ,NYC,Corporate fund,$30M debut (2024),Pre-seed/seed; $500K-1M,"Stablecoins, tokenization, fintech + AI","Wyatt Lonergan, Juan Lopez",Building,Accessible; media-active,S1,R,Full detail on VC Fund Database tab; On working tab
Circle Ventures,"New York, NY",HQ,NYC,CVC,~9 investments,CVC equity,USDC ecosystem,-,Zodia Markets,Thin after team exits,S3,R,Full detail on VC Fund Database tab
Consensys / Mesh,"Brooklyn, NY",HQ,NYC,CVC + accelerator,~138 positions,Equity + tokens,Ethereum ecosystem,Joe Lubin,"MetaMask, Gnosis, Aztec",Tachyon accelerator,S2,R,Full detail on VC Fund Database tab
Ava Labs / Blizzard Fund,"Brooklyn, NY",HQ,NYC,Ecosystem fund,$200M+ (2021),Ecosystem equity + tokens,Avalanche ecosystem,Emin Gun Sirer,150+ investments,Ecosystem events,S2,R,Full detail on VC Fund Database tab
Winklevoss Capital,"New York, NY",HQ,NYC,Family office VC,~172 investments,Equity + BTC,"Crypto, space, energy",Cameron & Tyler Winklevoss,Broad,Gemini-linked,S3,R,Full detail on VC Fund Database tab
Republic Capital / Crypto,"New York, NY",HQ,NYC,Multi-stage platform,$2.6B+ deployed,Equity + tokens,Tokenized assets push,-,Broad,Platform events,S2,R,Full detail on VC Fund Database tab
White Star Capital DAF,"New York, NY",Team,NYC,"Global fund, NYC team",DAF II $120M first close,Seed/A; equity + tokens,"DeFi, gaming",Sep Alavi,"Ledn, RedStone",Modest cadence,S3,R,Full detail on VC Fund Database tab
Digital Currency Group,"Stamford, CT",Metro,US Metro,CVC / operator,200+ investments; Fund V ~$1B target,Venture equity + tokens + event-driven,Broad digital assets,Barry Silbert,"Grayscale, Foundry, Luno",Metro coffee range,S3,R,Full detail on VC Fund Database tab
50T (ex-10T/1RT),"Stamford, CT",Metro,US Metro,Growth equity,$500M fund; ~$2B AUM,Growth; no tokens,Growth-stage digital assets,Dan Tapiero,"Kraken, Ledger, Yuga",Growth crossover only,S3,R,Full detail on VC Fund Database tab
Bitkraft Ventures,Denver/Berlin,Office,US Other,Gaming specialist,$1B+ AUM,Equity + tokens,Web3 gaming,"Jens Hilgers, Carlos Pereira",Gaming portfolio,Gaming-only relevance,Monitor,R,NYC is a satellite office
Metalayer,NYC-linked (verify),Verify,NYC,Emerging fund,~$25M,Early-stage,Crypto,Two Sigma veterans,Verify associations,Small; emerging,Monitor,R,Full detail on VC Fund Database tab
Neoclassic Capital,"Miami, FL",People (Bucella),US Other,Crypto-native VC,n/a,Early-stage,Broad crypto,"Michael Bucella, Steve Lee",Building; a16z-figure backing,Bucella NYC-visible,Monitor,R,Miami HQ despite NYC network
Breed VC,Boston/Miami,Verify (listings vary),US Other,Crypto-native VC (small),Fund I $20M; Fund II ~$13.6M FC,Early-stage,Broad,Jed Breed,Castle Island-backed,Small,Monitor,R,Ties into the Castle Island web
Castle Island Ventures,"Boston, MA",- (Boston),US Other,Crypto-native VC,Multiple funds,Early-stage equity,"Infrastructure, bitcoin, stablecoins","Nic Carter, Matt Walsh","Talos, Coin Metrics",On The Brink; occasional fellows,S1,R,Post-close Talos angle; on VC Targets tab; On working tab
Pantera Capital,"Menlo Park, CA",Office (verify),US West,Crypto-native VC + liquid,Multi-$B platform; Fund V in market (verify),Venture + liquid,Broad digital assets since 2013,"Dan Morehead, Paul Veradittakit","Circle, Ondo, many",Thesis material travels; on VC Targets tab,S2,R,Oldest dedicated crypto fund; On working tab
Coinbase Ventures,SF / remote,Office (Coinbase NYC),US West,CVC,Most active crypto CVC,Equity + tokens,Broad; sits inside corp dev,-,Hundreds of portfolio cos,Enter via Coinbase MBA channels,S2,R,On VC Targets tab; On working tab
Kraken Ventures,SF / remote,People (verify),US West,CVC,Standalone fund,Early-stage,Fintech + crypto,-,-,Ecosystem network,S2,R,On VC Targets tab; double-counts with corp dev; On working tab
1kx,"Berlin, DE",People (verify),Europe,Crypto-native VC,$75M (2024),Seed/A; token networks,Token networks,"Lasse Clausen, Christopher Heymann","Celestia, Arweave, LI.FI",Not NYC in practice,Monitor,R,Berlin HQ despite NY listings
Lightspeed Faction,"SF, CA",-,US West,Crypto arm of Lightspeed,$285M (2023),Early-stage,Broad crypto,Sam Harrison,-,West Coast,Monitor,R,Excluded from NYC map
Syncracy Capital,"New York, NY",HQ,NYC,Liquid fund (NOT VC),~$230M AUM,Liquid tokens,Liquid crypto,"Ryan Watkins, Daniel Cheung",-,Read the research; no VC roles,Exclude,R,Network/research value only
Brevan Howard Digital,UK / Austin,-,Europe,"Liquid, minority venture",Large; -29.5% in 2025,Mostly liquid,Shifting to stablecoins/infra,-,-,Not a venture target,Exclude,R,From research
Tusk Venture Partners,"New York, NY",HQ,NYC,Winding down VC,Fund III last,Pivoting to services,Regulatory-adjacent,Bradley Tusk,"Coinbase, Circle (historic)",Do not spend time,Exclude,R,From research
Point72 Ventures,"Stamford, CT",Metro,US Metro,Exited crypto,-,AI/defense now,-,-,-,No crypto VC,Exclude,R,Team laid off Jun 2024
ParaFi Capital,"New York, NY",HQ,NYC,Crypto-native VC + liquid,~$1B+ AUM (verify),Venture + liquid; institutional,"DeFi, market structure, stablecoin infra",Ben Forman (ex-KKR),"Aave, Compound, Chainalysis (verify current)",Institutional DNA; NYC; strong thesis fit,S1,K,Major NYC omission from the research - verify current footprint; On working tab
Delphi Ventures / Delphi Digital,"New York, NY",HQ,NYC,Research house + VC,n/a,Early-stage + research,Broad crypto; research-led,"Anil Lulla, Tommy Shaughnessy",Research franchise; DeFi/gaming bets,Research engagement is the door,S2,K,Reading their work doubles as CVF prep
Liberty City Ventures,"New York, NY",HQ,NYC,Crypto-native VC,n/a,Early-stage equity,Digital assets infrastructure,Emil Woods,"Paxos, Lukka (early backers)",Quiet NYC shop; network play,S2,K,Verify current fund activity; On working tab
Nyca Partners,"New York, NY",HQ,NYC,Fintech VC w/ crypto,~$1B+ AUM (verify),Seed to B equity,"Payments, capital markets fintech; selective crypto",Hans Morris (ex-Visa president),Blockchain-adjacent fintech portfolio,Hires MBAs; NYC; payments royalty,S1,K,Thesis-adjacent door with real MBA precedent; On working tab
Illuminate Financial,NYC + London,Office,NYC,Capital-markets fintech VC,~$500M+ AUM (verify),Seed/A equity; strategic LPs are banks,"Capital markets infrastructure, digital assets, post-trade",Mark Beeston (ex-ICAP),Digital-asset market infra bets,Bank-LP network; market-structure bullseye,S1,K,Your prime-lending seat speaks their exact language; On working tab
Figment Capital,"New York, NY",HQ,NYC,Crypto-native VC (small),n/a,Early-stage,Proof-of-stake / infra,Linked to Figment (staking),Infra bets,Small team,S3,K,Verify independence from Figment Inc
Mechanism Capital,"New York, NY (verify)",HQ,NYC,Liquid-leaning hybrid,n/a,Venture + liquid,"DeFi, gaming (historic)",Andrew Kang,-,Liquid-leaning; network only,Monitor,K,Cadence unclear post-2024
CMS Holdings,"New York, NY",HQ,NYC,Prop / liquid hybrid,n/a,Liquid + some venture,Broad crypto,Dan Matuszewski,-,Not a hiring door; network/market color,Monitor,K,Liquid-first
Compound VC,"New York, NY",HQ,NYC,Thesis-driven seed,n/a,Seed equity,Frontier tech incl. crypto,Michael Dempsey,Crypto + frontier bets,Writing culture,S3,K,"Adjacent, not crypto-pure"
Motive Partners,NYC + London,HQ,NYC,Fintech PE / growth,Multi-$B,Growth/buyout,Financial infrastructure; tokenization-curious,Rob Heyvaert,Capital-markets platforms,PE-track MBAs; not crypto-pure,S3,K,Relevant if growth/PE lane opens
Galaxy Interactive,"New York, NY",HQ,NYC,Gaming/interactive fund,$650M+ across funds (verify),Equity + tokens,"Games, interactive, metaverse-era",Sam Englebardt,Gaming portfolio,Galaxy relationship compounding,S3,K,Same roof as your Galaxy targets
Paradigm,"San Francisco, CA",Verify,US West,Crypto-native mega-fund,~$10B+ AUM era; Fund III $850M (2024),Seed to growth; equity + tokens; deep technical,"Frontier crypto: infra, DeFi, MEV, policy",Matt Huang; Fred Ehrsam (co-founder),"Uniswap, Optimism, Flashbots, Blur, Farcaster",Elite; rare MBA hires but fellowships/research exist,S2,K,The reference crypto fund; engage via research; On working tab
Haun Ventures,"San Francisco, CA",Verify,US West,Crypto-native VC,$1.5B (2022 funds),Early + acceleration; equity + tokens,"Consumer crypto, infra, policy-forward","Katie Haun (ex-a16z, ex-DOJ)","Aptos, Zora, OpenSea (verify current)",Policy/regulatory angle; strong brand,S2,K,Raised at peak; pace steadied since; On working tab
Electric Capital,"Palo Alto, CA",Verify,US West,Crypto-native VC,~$1B across funds (verify),Seed/A; equity + tokens; developer-data-driven,"Developer ecosystems, infra","Avichal Garg, Curtis Spencer",Developer Report franchise; broad infra,Developer Report = conversation currency,S2,K,Their annual report is required reading; On working tab
Polychain Capital,"San Francisco, CA",-,US West,Crypto-native VC + liquid,Multi-$B peak AUM,Venture + liquid,"Protocols, infra",Olaf Carlson-Wee,"dYdX, Compound, Avalanche (early)",Small team; research-led,S2,K,Venture + liquid blend
Multicoin Capital,"Austin, TX",Verify,US Other,Crypto-native VC + liquid,Fund III $430M (2022),Thesis-concentrated; equity + tokens + liquid,"Solana ecosystem, DePIN, infra","Kyle Samani, Tushar Jain","Solana (early), Helium, Wormhole",Prolific public theses; engage in writing,S2,K,Highest-conviction public writers in the set; On working tab
Blockchain Capital,"San Francisco, CA",-,US West,Crypto-native VC,$580M raised 2023 (Fund VI + opp),Early to growth; equity + tokens,"Infra, DeFi, consumer",Bart Stephens; Spencer Bogart,"Coinbase, Kraken, Aave (verify)",One of the oldest (2013); institutional,S2,K,Long track record
Standard Crypto,"San Francisco, CA",-,US West,Crypto-native VC,~$1B+ across funds (verify),Concentrated; equity + tokens,"Infra, DeFi","Adam Goldberg, Alok Vasudev",Concentrated portfolio,"Low-profile, high-conviction",S3,K,Quiet; warm intro needed
Framework Ventures,"San Francisco, CA",Verify,US West,Crypto-native VC,Fund III $400M (2022),Thesis-driven; equity + tokens,"DeFi, gaming, RWA-curious","Michael Anderson, Vance Spencer","Chainlink, Synthetix, Aave (early)",DeFi-native credibility,S2,K,DeFi pioneer fund
1confirmation,"San Francisco, CA",-,US West,Crypto-native VC (small),~$100M+ funds,Seed; concentrated,"Consumer crypto, NFTs, ETH-aligned",Nick Tomaino,"OpenSea, dYdX (early)",Small; essay culture,S3,K,Writing-first outreach
Hack VC,"San Francisco, CA",-,US West,Crypto-native VC,~$400M+ (verify),Seed; equity + tokens,"Crypto x AI, infra, DeFi",Ed Roman,Broad seed portfolio; active 2024-25,High-volume seed; approachable,S2,K,Among the most active seed funds recently
Bain Capital Crypto,SF + Boston,Verify,US West,Institutional crypto VC,$560M Fund I (2022),Seed/A; equity + tokens; technical,"Infra, DeFi, cryptography",Stefan Cohen,Technical portfolio,Bain platform; institutional path,S2,K,Institutional brand + crypto depth; On working tab
Slow Ventures,SF / Boston / NYC,People (verify),US West,Generalist w/ crypto sleeve,n/a,Seed,Contrarian consumer + crypto,Sam Lessin,"Solana (early), social bets",Essay culture,S3,K,Crypto is a sleeve
Volt Capital,"San Francisco, CA",-,US West,Crypto-native VC (small),"$50M (2022, verify)",Seed,"Infra, DeFi",Soona Amhaz,Seed portfolio,Small; community-led,S3,K
Chapter One,"Los Angeles, CA",-,US West,Product-led seed,n/a,Seed,Consumer crypto + product,Jeff Morris Jr.,Consumer bets,Product angle,S3,K
Shima Capital,"San Francisco, CA",-,US West,Crypto-native seed,$200M Fund I (2022),High-volume seed,Broad web3,Yida Gao,Large seed portfolio,Volume player,S3,K,Verify current pace
Tribe Capital,"San Jose, CA",-,US West,Data-driven VC w/ crypto,n/a,Multi-stage,Data-driven; crypto sleeve,Arjun Sethi (also Kraken co-CEO),Kraken (large position),Kraken web overlap,S3,K,Sethi bridge to Kraken
Race Capital,"San Francisco, CA",-,US West,Infra-focused seed,n/a,Seed,"Infra, data, crypto-adjacent",Alfred Chuang,Solana (early),Infra angle,S3,K
gumi Cryptos Capital (gCC),SF + Tokyo,-,US West,Crypto-native VC,~$150M+ funds (verify),Seed,"Infra, DeFi, Japan bridge",Miko Matsumura,Broad seed,Japan angle,S3,K
Boost VC,"San Mateo, CA",-,US West,Accelerator + seed,n/a,Pre-seed accelerator,Sci-fi tech incl. crypto,Adam Draper,Long crypto history (2014+),Accelerator network,Monitor,K
Draper Associates,"San Mateo, CA",-,US West,Family of funds,n/a,Seed,Bitcoin-forward,Tim Draper,"Coinbase (early), bitcoin bets",Brand only,Monitor,K
Arrington Capital,"Seattle, WA",-,US Other,Crypto-native VC + liquid,n/a,Venture + liquid,"L1s, infra","Michael Arrington, Ninor Mansor",Broad,-,Monitor,K
Bloccelerate VC,"Seattle, WA",-,US Other,Crypto-native VC (small),n/a,Seed,Infra,Kate Mitselmakher,-,-,Monitor,K
Arca,"Los Angeles, CA",-,US West,Asset manager + venture,n/a,Liquid + venture sleeve,"Digital assets, funds","Rayne Steinberg, Jeff Dorman",-,Research notes are useful,Monitor,K,Liquid-leaning
Ribbit Capital,"Menlo Park, CA",-,US West,Fintech elite w/ crypto,Multi-$B,Seed to growth equity,Global fintech; crypto conviction cycles,Micky Malka,"Coinbase, Robinhood, Nubank, Revolut",Elite fintech door; MBA-plausible,S2,K,Fintech-crypto crossover royalty; On working tab
Founders Fund,"San Francisco, CA",Verify,US West,Generalist w/ BTC conviction,Multi-$B,Multi-stage equity,"Contrarian; bitcoin, Polymarket",Peter Thiel; team,"Polymarket, bitcoin positions",Elite; network entry,S3,K
Sequoia Capital,"Menlo Park, CA","Office (opened ~2024, verify)",US West,Generalist mega-fund,Multi-$B,Multi-stage equity,Selective crypto (post-FTX chastened),-,"Fireblocks, Polygon (verify), FTX (writedown)",Elite generalist door,S3,K,Crypto selective
Index Ventures,SF + London,Office,US West,Generalist w/ crypto bets,Multi-$B,Multi-stage equity,Selective crypto/fintech,-,"Bridge (-> Stripe), fintech heavy",Elite generalist door,S3,K,On working tab
General Catalyst,SF + NYC,Office,US West,Generalist mega-fund,Multi-$B,Multi-stage,Fintech + selective crypto,-,"Circle (early backer, verify)",Large MBA-friendly platform,S3,K
Khosla Ventures,"Menlo Park, CA",-,US West,Generalist w/ crypto bets,Multi-$B,Multi-stage,Deep tech; selective crypto/stablecoin,-,"OpenSea (verify), stablecoin bets",-,Monitor,K
GV (Google Ventures),"Mountain View, CA",Office,US West,CVC generalist,Multi-$B,Multi-stage,Selective crypto infra,-,"Dapper, Blockchain.com (verify)",-,Monitor,K
8VC,"Austin, TX",Office (verify),US Other,Generalist w/ crypto-adjacent,Multi-$B,Multi-stage,"Fintech infra, defense; stablecoin-curious",Joe Lonsdale,Synthetic-dollar adjacency (verify),-,Monitor,K
Coatue,"New York, NY",HQ,NYC,Crossover w/ crypto history,Multi-$B,Growth + liquid,AI core; crypto episodic,-,OpenSea era bets,-,Monitor,K
CMT Digital,"Chicago, IL",-,US Other,Trading-family crypto VC,n/a,Early-stage equity + tokens,"Market structure, infra, policy",CMT Group lineage,Long crypto-native portfolio,Market-structure DNA; strong thesis fit,S2,K,Trading-firm capital speaks your language
DRW Venture Capital,"Chicago, IL",Office (via DRW NYC),US Other,Prop-firm VC (Cumberland),n/a,Equity,"Market infra, digital assets",DRW/Cumberland lineage,"ErisX (historic), infra bets",Cumberland adjacency,S3,K
Jump Capital / Jump Crypto,"Chicago, IL",Office (via Jump NYC),US Other,Prop-firm VC + builder,n/a,Equity + tokens + building,"Infra, DeFi, Solana ecosystem",-,"Pyth ecosystem, Wormhole (rebuilt)",Engineering-heavy,S3,K,Post-2022 rebuild; verify current posture
Greenfield Capital,"Berlin, DE",-,Europe,Crypto-native VC,EUR 160M Fund III (verify),Seed/A; equity + tokens,"Open-source infra, ETH-aligned","Sebastian Blum, Jascha Samadi",Infra portfolio,Leading German crypto fund,Monitor,K,Europe network relevance
Fabric Ventures,"London, UK",-,Europe,Crypto-native VC,"~$245M (2022, verify)",Seed; equity + tokens,"Open economy, infra",Richard Muirhead,Polkadot-era to present,London network fits your base,S3,K
Outlier Ventures,"London, UK",-,Europe,Accelerator,n/a,Pre-seed accelerator,Web3 broad,Jamie Burke,Large accelerator cohort history,Mentor network,Monitor,K
CoinShares Ventures,London / Jersey,Office (verify),Europe,Corporate VC,n/a,Equity,Digital asset infra,CoinShares (listed),ETP-adjacent bets,ETP-house overlap with your ETC years,S3,K
KR1,Isle of Man / UK,-,Europe,Listed crypto investor,Listed vehicle,Tokens + equity,"Staking, protocols",-,Long protocol list,-,Monitor,K
L1 Digital (L1D),"Zurich, CH",-,Europe,Fund-of-funds + direct,~$1B+ AUM (verify),FoF + co-invest,Crypto funds universe,Ray Hindi,-,Knows every fund: meta-networking,S3,K,A FoF conversation maps the whole industry
CV VC,"Zug, CH",-,Europe,Crypto-native VC + accelerator,n/a,Seed,Crypto Valley ecosystem,Mathias Ruch,-,-,Monitor,K
Signature Ventures,"Munich, DE",-,Europe,Crypto-native VC (small),n/a,Seed,Infra,-,-,-,Monitor,K
Maven 11,"Amsterdam, NL",-,Europe,Crypto-native VC,~$120M+ funds (verify),Seed/A; equity + tokens,"DeFi, infra, credit",-,"Maple, credit protocols (verify)",Lending-protocol thesis overlap,S3,K
Rockaway Blockchain Fund (RBF),"Prague, CZ",-,Europe,Crypto-native VC,n/a,Seed/A,"Infra, DeFi",Viktor Fischer,-,-,Monitor,K
Lightshift,"Lisbon, PT",-,Europe,Crypto-native VC (small),n/a,Seed + studio,Infra,-,-,-,Monitor,K
Blue Yard Capital,"Berlin, DE",-,Europe,Thesis-driven seed,n/a,Seed,"Decentralization, frontier",Ciaran O'Leary,Protocol bets,-,Monitor,K
Hashed,"Seoul, KR",-,Asia,Crypto-native VC,~$570M across funds (verify),Seed to A; equity + tokens,"Korea + global web3, gaming",Simon Kim,Korean ecosystem + global bets,Korea bridge,Monitor,K
HashKey Capital,Hong Kong,People (verify),Asia,Crypto-native VC + platform,~$1B AUM (verify),Multi-stage; equity + tokens,Asia institutional crypto,Deng Chao,Broad Asia portfolio,HK licensing regime knowledge,Monitor,K
Animoca Brands,Hong Kong,-,Asia,Operator + investor,400+ investments,Equity + tokens,"Gaming, metaverse-era, consumer",Yat Siu,"Sandbox, gaming universe",Gaming only,Monitor,K
Spartan Group,Singapore,-,Asia,Crypto-native VC + advisory,n/a,Venture + advisory + liquid,"DeFi, gaming, infra",Kelvin Koh,DeFi portfolio,Advisory arm does crypto M&A - watch,S3,K,Their advisory practice overlaps your IB lane
Foresight Ventures,Singapore,-,Asia,Crypto-native VC,n/a,Seed/A,"Infra, Asia-US bridge",-,The Block (majority owner!),Media asset connection,Monitor,K,Owns The Block - Dudas history
IOSG Ventures,Singapore / Shenzhen,-,Asia,Crypto-native VC,n/a,Seed; research-driven,"Infra, ZK, DeFi",Jocy Lin,Infra-heavy portfolio,-,Monitor,K
SevenX Ventures,Asia (distributed),-,Asia,Crypto-native VC,n/a,Seed,"Infra, consumer",-,-,-,Monitor,K
Fenbushi Capital,Shanghai / Singapore,-,Asia,Crypto-native VC (oldest Asia),n/a,Equity + tokens,Blockchain broad,Bo Shen,Ethereum-era history,-,Monitor,K
Ryze Labs (ex-Sino Global),Asia / distributed,Office (verify),Asia,Crypto-native VC,n/a,Seed,"Solana-aligned, Asia",-,Solana ecosystem,-,Monitor,K
Mirana Ventures,Singapore / Dubai,-,Asia,CVC (Bybit-affiliated),n/a,Equity + tokens,Exchange ecosystem,-,-,-,Monitor,K
OKX Ventures,Hong Kong / Seychelles,-,Asia,CVC,n/a,Equity + tokens,Exchange ecosystem,-,Broad,-,Monitor,K
YZi Labs (ex-Binance Labs),Global,-,Asia,CVC / incubator,$10B era portfolio (verify),Equity + tokens + incubation,BNB ecosystem + broad,Ella Zhang era relaunch (verify),Massive portfolio,US practicality low,Monitor,K,Rebranded from Binance Labs 2025
SBI Investment,"Tokyo, JP",-,Asia,CVC (SBI Group),Multi-fund,Equity,Japan digital assets,-,"B2C2, bitbank (group deals)",Group's bitbank/B2C2 M&A = corp dev overlap,Monitor,K
Sora Ventures,"Taipei, TW",-,Asia,Crypto-native VC (small),n/a,Seed,"Bitcoin DATs in Asia, media",Jason Fang,Asia DAT deals,-,Monitor,K
Hashed Emergent,"Bangalore, IN",-,Asia,Crypto-native VC,n/a,Seed,India web3,-,-,-,Monitor,K
Superscrypt,Singapore,-,Asia,Temasek-linked crypto VC,n/a,Seed,"Infra, consumer",-,-,Institutional Singapore angle,Monitor,K
Further Ventures,"Abu Dhabi, UAE",-,MEA,ADQ-backed VC + studio,n/a,Venture + build,"Digital assets, fintech market infra",-,Stablecoin/market-infra bets,ADGM regime; capital-rich,Monitor,K,Gulf capital increasingly active in your thesis area
Cypher Capital,"Dubai, UAE",-,MEA,Crypto-native VC,n/a,Seed,Broad web3,-,-,-,Monitor,K
Apollo Crypto,"Melbourne, AU",-,Oceania,Crypto-native VC + liquid,n/a,Venture + liquid,Broad,-,-,-,Monitor,K
Tether Investments,El Salvador,-,Global,Strategic investor (CVC-like),$B-scale profits deployed,Large strategic checks,"AI, energy, bitcoin mining, media, agriculture",Paolo Ardoino,"Adecoagro (~70%), Twenty One, Rumble (verify)",Not a hiring door; strategic weight only,Monitor,K,The most capital-rich strategic in crypto
RippleX / Ripple investments,"San Francisco, CA",Office (via Ripple NYC),US West,CVC / ecosystem,n/a,Equity + XRPL grants,"XRPL ecosystem, payments",-,Ecosystem grants + corp dev overlap,Enter via Ripple corp dev lane,S3,K,Double-counts with Corp Dev tab
