Deal Evidence: Advisor Attributions by Transaction

Announced,Category,Acquirer / Situation,Target / Company,Value,Sell-side / Debtor FA,Buy-side / Creditor FA,Legal / Notes
Jul 2026,Strategic,Mirae Asset,Korbit,$91.5M,Not disclosed,Not disclosed,Completed Jul 2026
Jul 2026,Strategic,Payward,Magic Labs (wallet biz),Undisclosed,Architect Partners (excl.),Not disclosed
Aug 2026,Strategic,OpenFX,Global Ledger,Undisclosed,Not disclosed,Not disclosed
Aug 2026,Adjacent,Goldman Sachs,NEOS Investments,Up to $2.25B,Barclays (excl.),GS Global Banking & Markets,"Wachtell, Willkie (GS); Ropes & Gray (NEOS); crypto-adjacent ETF deal"
Jan 2024,Restructuring,Ch. 11 emergence,Core Scientific,-,PJT Partners (debtors),-,"Weil, AlixPartners"
Jan 2024,Restructuring,Ch. 11 emergence,Celsius,-,Centerview (debtors),Perella Weinberg (creditors),"Kirkland, A&M; ~$20.1M Centerview fee allocation"
Aug 2024,Restructuring,Plan completed,Genesis Global,-,Moelis (debtors),Houlihan Lokey (creditors),"Cleary, A&M; White & Case"
Oct 2024,Restructuring,Plan confirmed,FTX,-,Perella Weinberg (debtors),Jefferies (creditors),"Sullivan & Cromwell, A&M; Paul Hastings, FTI"
2023-24,Restructuring,Wind-down,Voyager Digital,-,Moelis (debtors),-,"Kirkland, BRG"
2023-24,Restructuring,Wind-down,BlockFi,-,Moelis (debtors),-,"Kirkland, Haynes Boone, BRG"
Apr 2025,DAT / de-SPAC,Cantor Equity Partners,Twenty One Capital,-,Cantor Fitzgerald (FA + placement),-,"Skadden (Twenty One, Tether); NYSE: XXI Dec 2025"
Jun 2025,DAT / de-SPAC,Columbus Circle Capital I,ProCap BTC,~$1B,Cohen & Co CM (excl. FA; co-placement with Clear Street),-,Reed Smith; Ellenoff Grossman
2025,DAT / de-SPAC,KindlyMD,Nakamoto,~$710M,Cohen & Co CM (lead FA + placement); 10X Capital,-,Reed Smith (Nakamoto)
Sep 2025,DAT / de-SPAC,Strive,Semler Scientific,~$1.4B all-stock,LionTree (excl.),Cantor Fitzgerald,Davis Polk (Strive); Goodwin (Semler); first DAT stock-for-stock merger; closed Jan 2026
Oct 2025,DAT / de-SPAC,Cantor Equity Partners II,Securitize,$1.25B pre-money,Citi (Securitize),Cantor Fitzgerald (CEPT),Davis Polk; Hughes Hubbard; NYSE: SECZ Jul 2026

"Attributions from company press releases, law firm and bank announcements, SEC filings, and Architect Partners M&A alerts. 'Not disclosed' means no public advisor attribution was found, not that no advisor was engaged. Restructuring engagements originated 2022-23 but concluded in the window shown."
