Jefferies,Elite boutique / full platform,YES — OCR (largest class),Named: FinTech & Wealth,"The only firm combining three crypto M&A sell-sides, the largest associate class of the group, a named fintech group, and a CBS alum leading that exact team.","The only firm combining three crypto M&A sell-sides, the largest associate class of the group, a named fintech group, and a CBS alum leading that exact team.",3,"NinjaTrader $1.5B (sell-side, Mar 2025); Long Ridge $1.5B (co-sell with Lazard for FTAI, Apr 2026); Kiavi $717M (sell-side for Figure, Jun 2026)",Full ECM/leveraged finance platform - the strongest ECM offering of any non-BB on this list. Verify crypto issuance roles.,"John Erwin - MD, FinTech & Wealth Investment Banking, CBS MBA '06"
Lazard,Elite boutique,YES — OCR,Within FIG,Financial Advisory - FIG; the Long Ridge mandate ran through Power & Energy Infrastructure.,"Its single crypto credit was a POWER asset sale, not a crypto business - do not overstate it as a digital-assets franchise.",1,"Long Ridge $1.5B (co-sell with Jefferies for FTAI, Apr 2026)",No disclosed crypto ECM.
Centerview,Elite boutique,YES — OCR (smallest class),None - generalist staffing,ZERO crypto M&A credits. Industry-agnostic staffing (no formal groups) and the smallest associate class in the market.,ZERO crypto M&A credits. Industry-agnostic staffing (no formal groups) and the smallest associate class in the market.,0,None,None disclosed
Perella Weinberg,Elite boutique,YES — OCR,Within FIG,ZERO crypto M&A credits — no crypto M&A franchise to point at. FIG coverage exists but the crypto work is not M&A.,ZERO crypto M&A credits — no crypto M&A franchise to point at. FIG coverage exists but the crypto work was never M&A.,0,None,None disclosed
Houlihan Lokey,Elite boutique,YES — OCR,Named: FinTech (Corporate Finance),"Apply to CORPORATE FINANCE — that is the M&A division and it houses the FinTech group. HL ranks #1 globally in M&A by deal COUNT and is mid-market focused, which matches where most crypto deals actually clear. Zero crypto M&A credits, so this is a fintech pitch, not a crypto one.","Apply to CORPORATE FINANCE — that is the M&A division and it houses the FinTech group. HL ranks #1 globally in M&A by deal COUNT and is mid-market focused, which matches where most crypto deals actually clear. Zero crypto M&A credits, so this is a fintech pitch, not a crypto one.",0 crypto / active fintech,None in crypto (Corporate Finance FinTech practice is active in payments/specialty finance broadly),No disclosed crypto ECM.
Guggenheim Securities,Elite boutique,YES — OCR,Within FIG,Investment Banking - FIG / Technology coverage.,No disclosed crypto M&A credits 2024-26 - the weakest evidence of any Tier 1 name. Only worth time if networking comes free.,0,None disclosed,None disclosed
LionTree,Merchant bank / boutique,NO — relationship-driven,None - TMT generalist,"Generalist merchant bank, TMT & media focus; no dedicated crypto or fintech group.","Founder-led (Aryeh Bourkoff), very small intake, relationship-driven. The Semler mandate shows real digital-asset appetite but arrived through generalist coverage.",2,"Semler Scientific ~$1.4B all-stock (EXCLUSIVE sell-side vs Strive, Sep 2025 - the first DAT stock-for-stock merger); Equiniti $4.2B (sell-side syndicate, May 2026)",No disclosed crypto ECM.
FT Partners (Financial Technology Partners),Fintech specialist,NO — direct via Greenhouse,ENTIRE FIRM,No traditional department structure - organized in vertical deal teams; the relevant vertical is Blockchain / Digital Assets. Founder-led (Steve McLaughlin).,"The single purest fintech M&A franchise on this list: 100% fintech, no other business lines diluting the work. Hires associates DIRECTLY via Greenhouse (no OCR), so it does not compete with your Sept–Jan calendar. Culture is famously demanding — diligence with former juniors before committing.",4,"Hidden Road $1.25B (sell-side for Ripple, Apr 2025 - now Ripple Prime); Deribit $2.9B, $3.9-4.3B at close (sell-side for Coinbase, May 2025); WonderFi C$250M (sell-side, May 2025); Equiniti $4.2B (co-lead sell-side with Evercore, May 2026)",Private capital raising is a core FTP product line alongside M&A - verify specific crypto issuance roles.,"Mike Pascucci - Managing Director, CBS MBA '12"
Cantor Fitzgerald,Full-service / DAT specialist,"NO — posts roles, unstructured",Named: Digital Assets group,"DIGITAL ASSETS GROUP within Cantor Fitzgerald & Co. investment banking. Cantor Equity Partners (CEP, CEPT) are the affiliated SPAC sponsor vehicles. Bitcoin financing desk is separate again.",The deepest crypto ECM franchise in the market - if ECM genuinely interests you this is the highest-conviction name on the list. Be clear which arm you are targeting: advisory vs the SPAC sponsor vehicles vs bitcoin financing. Risk: DAT-lane concentration and the post-2025 derating of treasury companies.,1,"Semler Scientific ~$1.4B (buy-side FA to Strive, Sep 2025)","Twenty One Capital (FA + placement, Apr 2025; NYSE: XXI Dec 2025 - the Tether/SoftBank vehicle); Securitize $1.25B pre-money (buy-side FA for CEPT, Oct 2025); bitcoin financing book"
Cohen & Company Capital Markets (CCM),Boutique / DAT specialist,NO — opportunistic,Named: Blockchain & Digital Assets,BLOCKCHAIN & DIGITAL ASSETS practice within Cohen & Company Capital Markets (the IB arm). Distinct from Cohen & Company Asset Management.,"Highest CBS alumni leverage of any firm on this list - an alum runs the practice you would be joining. Hiring is opportunistic (no structured program), so this is a relationship you build now and cash later. M&A and ECM under one roof.",1,"Stronghold Digital $125M (sell-side, Aug 2024)","ProCap BTC ~$1B de-SPAC (exclusive FA + co-placement with Clear Street, Jun 2025; Nasdaq: BRR); Nakamoto ~$710M (lead FA + placement with 10X Capital, 2025)","Christian J. Lopez - MD, HEAD of Blockchain & Digital Assets, CBS MBA. Also Rahul Jasuja - MD, Energy & Energy Transition IB, CBS MBA; Pawel Skonieczka - MD, CBS MBA '13"
"KBW (Keefe, Bruyette & Woods, a Stifel company)",FIG specialist,NO — mostly lateral,Named: FinTech & Specialty Finance,FINANCIAL TECHNOLOGY & SPECIALTY FINANCE group within KBW. Stifel's own investment bank is a separate platform (it ran the Riot mandate).,"The premier FIG-only bank. Crypto work skews research and capital markets over M&A - which is a FEATURE if ECM interests you. Bank-crypto convergence (charters, stablecoin issuers, exchange listings) could re-rate this seat quickly.",1 (Stifel's),"Block Mining $92.5M (Stifel, excl. buy-side for Riot, Jul 2024)",FIG ECM is a core KBW franchise - the natural home for crypto-bank and stablecoin-issuer issuance. Verify specific roles.
Broadhaven Capital Partners,Fintech / market-structure specialist,"NO — small team, lateral",ENTIRE FIRM,"Broadhaven Capital Partners = the advisory arm (fintech and market structure). Broadhaven Ventures = the VC arm, same roof.","One relationship serves both your IB and VC lanes - the only firm on this list where that is true. Small team, lateral hiring, no junior program. Both founding partners are CBS.",1 (live mandate),BitMEX sale mandate (process reported under way); ErisX to Cboe (historic market-structure credit),No disclosed crypto ECM.,"Jerry von Dohlen - Founder & Partner, CBS MBA '96 (+ Columbia Engineering BS); James Denton - Partner, CBS MBA '85"
Galaxy Digital Partners,Crypto-native advisory,"NO — lateral, occasional postings",Crypto-native (whole firm),"GALAXY DIGITAL PARTNERS = the investment banking / advisory arm. Distinct from Galaxy Ventures (VC), Galaxy Asset Management, Galaxy Global Markets (trading and lending), and Galaxy Data Centers (Helios).",Largest crypto-native advisory platform; both mandates were exclusive sell-sides. Lateral hires and occasional postings - not an MBA summer program. One relationship opens IB and Ventures.,2,"Bitstamp $200M (excl. sell-side to Robinhood, Jun 2024); Aplo (excl. sell-side to Coincheck, Sep 2025, stock-for-stock)",Galaxy Global Markets runs financing/structured products - adjacent to ECM but not underwriting.
Architect Partners,Crypto-native advisory,NO — no junior programme,Crypto-native (whole firm),"Crypto-native M&A advisory - senior-only team (~12 advisors), no departments, no junior program. Founder: Eric Risley.","Their per-deal M&A alerts name the advisors on every transaction in the market - engaging the research IS the relationship strategy. Treat as a 2029+ landing spot, not a recruiting target.",3+,"Coinme + Sequence ~$250M combined (excl. sell-side for Coinme to Polygon Labs, Jan 2026); Magic Labs wallet business (excl. sell-side to Payward, Jul 2026); Caleb & Brown",No ECM practice.
Clear Street,Prime broker with IB arm,VERIFY — growing platform,Named: Blockchain & Digital Infra,INVESTMENT BANKING - Blockchain & Digital Infrastructure group. Sits alongside Clear Street's prime brokerage business.,"A crypto-native-adjacent IB group run by a CBS alum, inside a prime broker - directly adjacent to your COR PRIME operating background. Growing platform.",0,None disclosed as lead advisor,"ProCap BTC ~$1B (co-placement agent with Cohen & Co CM, Jun 2025)","Collin Finnerty - MD, Blockchain & Digital Infrastructure Investment Banking, CBS MBA '20"
Lincoln International,Mid-market,VERIFY — has hired CBS MBA associates,Within Technology / Business Svcs,Technology group (global co-head sits in NY) and Capital Advisory group. Mid-market focus.,"Nine CBS people including the CEO - the densest alumni cluster of any bank in the dataset - but a single crypto credit and a mid-market generalist mandate. An alumni-rich fallback, not a crypto thesis play.",1,"GRIID Infrastructure $155M EV (sell-side FA + fairness opinion for CleanSpark, Jun 2024)",Capital Advisory (private funds/GP advisory) - not crypto ECM.,"Rob Brown - CEO, CBS MBA; Scott Twibell - MD Global Co-Head Technology; Steve Carre, Brian Goodwin, Mark Karasik, Mark Y. (MDs); Dave Reese (Director); Cole Ahnell (Associate, CBS '23); Mike Zhang (Analyst, CBS MS '24)"
Compass Point Research & Trading,Research-led boutique,NO — lateral,Within FIG,"Investment Banking (small), FIG focus, research-led.",One real FA credit alongside Barclays. Lateral hiring only - watch postings.,1,"Long Ridge $1.5B (co-buy-side FA to MARA with Barclays, Apr 2026)",Research-driven capital markets; verify crypto issuance roles.
CRB Securities,Bank-affiliated broker-dealer,NO — early build-out,"Bank-affiliated, no groups",Broker-dealer / investment banking arm of Cross River Bank.,"Early build-out of the franchise - small enough that one good conversation matters, and early joiners get outsized roles if the practice scales.",1 (co),"Reap up to $600M (co-sell-side with Goldman Sachs Asia for Payward, May 2026)",No disclosed crypto ECM.
XMS Capital Partners,Independent advisory,NO — small/opportunistic,None - generalist,Independent generalist M&A advisory.,Single crypto credit; no dedicated digital-assets practice. Opportunistic only.,1,"Block Mining $92.5M (excl. sell-side to Riot, Jul 2024)",No disclosed crypto ECM.
Areta,Crypto-native advisory (Europe),NO — no formal programme,Crypto-native (whole firm),Crypto-native M&A advisory; Berlin HQ with Singapore and Dubai. No formal departments.,"Self-reports 15+ mandates in 2025 and $1B+ cumulative advised - these are the firm's own claims; verify mandate quality in conversation. Europe-weighted, smaller tickets. Fits your London/Europe base.",2 verified / 15+ self-reported,Bulletin (sell-side); Bridgepoint / ht.digital (buy-side),No disclosed crypto ECM.
Canaccord Genuity,Mid-market / capital markets,NO — lateral / just-in-time,Named: Digital Assets group,DIGITAL ASSETS group; flow skews capital markets over M&A.,A DCG-related mandate is referenced in the research but unnamed - treat as unverified. Lateral and just-in-time hiring.,0 verified,None verified,Digital assets capital markets is the stated franchise - verify specific issuance roles.
BTIG,Research-led broker-dealer,NO — lateral,Named: Digital Assets,"Digital Assets investment banking, research-led.",No disclosed M&A credits 2024-26. Research and capital markets is the actual franchise. Lateral hiring.,0,None disclosed,Research-led digital assets capital markets - verify issuance roles.
Aream & Co,Crypto-native advisory (London),NO — no formal programme,Crypto-native (whole firm),London digital-asset advisory boutique; no formal program.,No disclosed 2024-26 mandates surfaced in the research. Included for completeness and the London angle - verify the firm is active before spending time.,0 disclosed,None disclosed,None disclosed
Union Square Advisors,Technology specialist,"VERIFY — small, likely direct",Named: FinTech vertical,Technology M&A boutique - FinTech vertical.,"No crypto credit in the dataset, but a pure tech M&A shop with a CBS MD. A fintech pitch, not a crypto one.",0 crypto / active fintech,None disclosed in crypto,No disclosed crypto ECM.,"Phillip Kim - Managing Director, CBS MBA '05; Joe Josephson - Partner (CBS '98)"
Piper Sandler,FIG specialist,VERIFY — runs MBA recruiting; confirm CBS,ENTIRE FIRM (FIG),Financial Services Group - FinTech coverage; absorbed Sandler O'Neill's FIG franchise.,The closest structural analogue to KBW and the biggest gap in your list. One of the deepest FIG franchises on the street. No crypto M&A credit surfaced - this is a fintech pitch.,0 crypto / active fintech,"None surfaced in crypto; high-volume bank, specialty finance and payments M&A",Major FIG ECM franchise - context only
William Blair,Mid-market,VERIFY — has MBA summer associate programme; confirm CBS,Named: FinTech / Payments,Technology & Services - FinTech and Payments coverage.,Active upper-middle-market fintech and payments M&A. No crypto credit surfaced.,0 crypto / active fintech,None surfaced in crypto; recurring payments and fintech M&A,Mid-market ECM - context only
Raymond James,Mid-market,VERIFY — has MBA associate programme; confirm CBS,Within Technology & Services,Investment Banking - Technology & Services; FinTech coverage within it.,Real fintech M&A practice; no crypto credit surfaced.,0 crypto / active fintech,None surfaced in crypto,Mid-market ECM - context only
D.A. Davidson,Mid-market,NO — small MBA intake,Named: FinTech (ex-Marlin & Associates team),"Technology Investment Banking - FinTech group, built on the absorbed Marlin & Associates team.",Marlin was a dedicated fintech M&A boutique before the acquisition - the team and franchise carried over. Mid-market.,0 crypto / active fintech,None surfaced in crypto; fintech M&A is the group's whole mandate,Limited
Arma Partners,European tech specialist,"NO — European, no US OCR",ENTIRE FIRM (digital economy),Sector teams across the digital economy; FinTech is a core vertical. London-based.,Europe's leading independent digital-economy adviser and a strong fit for your London base. No crypto credit surfaced - verify current crypto appetite.,0 crypto / active fintech,None surfaced in crypto; heavy European fintech and software M&A,No ECM - pure advisory

"Deal mandates are advisor attributions verified from press releases, law-firm and bank announcements, SEC filings and Architect Partners M&A alerts through Aug 21, 2026 — 'None disclosed' means no public attribution was found, not that no adviser was engaged, so several firms will have more credits than are listed. GROUP AND DEPARTMENT NAMES ARE FROM GENERAL KNOWLEDGE (Jan 2026 horizon) and banks rename coverage groups constantly — confirm the exact group name on the firm's site or in your first conversation before using it. OCR status reflects general MBA-recruiting patterns plus your Aug 2026 tracker; CBS's live roster is on the CMC portal — reconcile it in week one. Items marked VERIFY are explicitly unconfirmed."
