NYC Crypto VC Fund Database: Full Detail (verified Aug 2026)
"Every fund from the Aug 22, 2026 deep research at full fidelity: complete fund lineages, founders, LPs, and 2025-26 deal activity  |  Sections: NYC crypto-native, bicoastal, generalists, corporate/metro, excluded"

Fund,HQ / Main Location,NYC Presence,Status,Founded,Founders & Key People,Fund History (all vehicles),Strategy & Checks,Thesis / Focus,Portfolio,Recent Activity 2025-26,LPs / Backers,Engagement Hooks,Priority,Notes / Caveats
Reciprocal Ventures,"New York, NY (24 W 25th St)",HQ,Active (raising III),2016,Michael Steinberg (ex-SAC/Point72 PM); Craig Burel (GP),"Fund II $68.5M (2022); Fund III raising up to $100M, in market from early 2025; ~$201M AUM",Pre-seed/seed; equity + tokens,"DeFi, institutional capital markets, web3 stack, payments","Solana (seed), The Graph, TrueX, Coinflow Labs",Fund III in market,Not disclosed,Diffusion thesis research; partner writing,S2
M31 Capital,"New York, NY",HQ,Active (liquid-heavy),2020,"Nathan Montone; offices in Scottsdale, SF, Shanghai, Seoul, Delhi, San Juan","~$100M Web3 Opportunity Fund (Oct 2022, liquid venture); Bitcoin fund; DeFi fund; M31 Ventures arm",Multi-strategy; venture arm invests equity + tokens,Broad web3,"Huddle01, Euler, Elsa",Latest venture deal: Euler (Jul 2025),Not disclosed,Modest venture cadence,S3,Hybrid and liquid-heavy; venture is a sleeve
Dragonfly,NYC + Singapore (legal HQ Oakland/SF per some filings),Major office,Active,2018,"Founded by Alex Pack and Bo Feng; Haseeb Qureshi (Managing Partner); GPs Rob Hadick, Tom Schmidt","Fund IV $650M (Feb 2026), 30% above its $500M target, matching Fund III (2022); ~$4B total AUM; acquired Metastable, one of the oldest crypto hedge funds",Seed through Series B+; $3-30M checks; equity + liquid,"2025-26 pivot toward financial infrastructure, stablecoins, real-world assets, onchain finance","Polymarket, Ethena, Rain, Mesh, Avalanche, Agora",Fund IV close Feb 2026,Not disclosed,The Chopping Block podcast; research,S1,Caveat: DOJ signaled possible charges in 2025 tied to a 2020 Tornado Cash investment involving GP Tom Schmidt; Qureshi noted the raise landed amid deep bear-market gloom
a16z crypto,Menlo Park HQ; NYC office,Office,Active,2018,"Chris Dixon (founder/lead; Columbia BA and MA in philosophy, HBS MBA); GPs Ali Yahya, Guy Wuollet, Eddy Lazzarin (newly promoted)",Crypto Fund 5 $2.2B (May 2026); $9.8B total crypto capital,Seed to growth; $10-60M checks; equity + tokens,"Fund 5 targets stablecoins, tokenization, perpetual futures, prediction markets, and AI agents; deep CLARITY Act and GENIUS Act policy engagement","Coinbase, Uniswap, OpenSea, Solana",Crypto Fund 5 close May 2026,Not disclosed,Crypto Startup School accelerator; a16z crypto research; State of Crypto report; active recruiting,S2,Highly competitive; the Dixon Columbia tie is a legitimate hook
1kx,Berlin (some databases list New York),Partners only,Active,2017-18,"Lasse Clausen, Christopher Heymann",$75M fund closed Mar 2024,Seed/A; token-network specialist; equity + tokens,Token networks,"Celestia, Arweave, Solana, Reown/WalletConnect, LI.FI, Layer3",,Not disclosed,,Monitor,Should not be counted as an NYC fund in practice
Lightspeed Faction,Menlo Park / SF,No,Active,2023,"Sam Harrison, Banafsheh Fathieh",$285M inaugural fund (2023),Early-stage crypto,,,,Lightspeed-affiliated,,Exclude,West Coast; on the map only to close the question of whether it belongs here
Union Square Ventures,"New York, NY",HQ,Active,2003-04,"Fred Wilson, Brad Burnham (founders)","Last core fund $275M plus $350M opportunity fund (2022, $625M total); small funds by design",Series A-centric equity; collaborative decision-making,Thesis 3.0; crypto since 2013 (first bet Coinbase); 25+ web3 positions,"Coinbase, Uniswap, Polygon, Helium, Dapper",Led a 2025 prediction-market startup round alongside Coinbase Ventures,Not disclosed,"USV thesis blog; Fred Wilson's AVC; alumni lineage runs to Placeholder (Monegro, Burniske era)",S1,They reward writing; written outreach plays to this
Fintech Collective,"New York, NY (200 Park Ave S)",HQ,Active,2012,"Brooks Gibbins, Gareth Jones",~$500M AUM; 7 funds; 171 investments; 14 exits,Seed/A; $500K-4M checks; equity,"Fintech + DeFi crossover; stablecoins, payments, capital markets DNA",171 investments (individual crypto names not detailed in the research),,Not disclosed,Newsletters (The Dollar's New Avatar; Stablecoins Take the Lead); Layer One podcast; adjacent to the Stablecon NYC conference,S1,Best pure stablecoins/payments thesis fit in the city
RRE Ventures,"New York, NY (130 E 59th)",HQ,Active,1994,Long-standing NYC partnership,~$2.5B AUM; 5 funds,Seed/A; primarily equity,Generalist with a dedicated crypto focus area,"Ripple, Paxos, Binance.US, BitPay, Blockdaemon, Abra, Bitnomial",Active in 2025-26,Not disclosed,NYC generalist brand; crypto focus page,S2,Bitnomial overlap connects to your Deal Evidence tab
Insight Partners,"New York, NY",HQ,Active (crypto episodic),Growth platform,,~$90B AUM,Growth equity,Crypto-adjacent since 2020,"FTX (historic), TaxBit",,Not disclosed,Portal's Evan Fisher is an alumnus,S3,"Crypto is opportunistic, not a practice"
Thrive Capital,"New York, NY (Puck Building)",HQ,Active (minimal crypto),2009,Josh Kushner,Thrive X $10B (Feb 2026); ~$50-65B AUM,Growth; equity,"AI, consumer, enterprise core; crypto peripheral","OpenAI, Stripe, SpaceX; Robinhood on the historic fintech side",,Not disclosed,,Monitor,Peripheral for this thesis
Deviation Capital (ex-Two Sigma Ventures),"New York, NY",HQ,Active (crypto sleeve),Rebranded 2025-26,,~$400M across two 2022 funds; roughly 15% allocated to crypto/web3,Data-driven generalist; equity,Crypto is a minority sleeve,"Pyth, Omni, Rally",,Not disclosed,,S3,Verify the rebrand on the firm's site before outreach
Valor Capital Group,"New York, NY (+ Rio, Sao Paulo)",HQ,Active (crypto opportunistic),2011,Sobel family,~$2.2B AUM,US-Brazil/LatAm crossover; equity,Crypto limited and opportunistic,"Coinbase, Bitso, Valora",,Not disclosed,,S2,Personal edge: your Sao Paulo M&A years and dual citizenship are differentiated here
VanEck Ventures,"New York, NY (666 Third Ave)",HQ,Active,Oct 2024,"Wyatt Lonergan, Juan Lopez (both ex-Circle Ventures)",$30M debut fund closed early 2025; related PurposeBuilt Fund launched Jun 2025 (liquid + venture),Pre-seed/seed; $500K-1M checks; 25-35 companies; equity,Fintech + digital assets + AI; stablecoins and tokenization,Building portfolio,Actively deploying,VanEck (parent),Media-active partners; direct outreach viable,S1,The Circle Ventures spinout story is the natural intro line
Circle Ventures,"New York, NY (One World Trade Center)",HQ,Active (modest),CVC,"Circle relocated HQ around its Jun 2025 NYSE IPO (CRCL, ~$1.05B raised)",~9 investments to date,CVC equity,USDC ecosystem,Latest: Zodia Markets (Jul 2025),,Circle (parent),,S3,"Prior VC leads left to found VanEck Ventures, thinning dedicated activity"
Consensys / Mesh,"Brooklyn, NY",HQ,Active (slower),"Consensys 2014; Mesh 2015, independent 2020",Joe Lubin (founder),~138 equity/token positions; Tachyon and TachyonX accelerators (90+ projects),CVC equity + tokens; accelerator,Ethereum ecosystem,"MetaMask, Gnosis, Aztec, Gitcoin",Mesh new-deal cadence below peak,,Tachyon accelerator; ecosystem events,S2,Consensys IPO delayed to fall 2026 after the Feb 2026 downturn; ARR $150M+; last valued $7B (2022)
Ava Labs / Blizzard Fund,"Brooklyn, NY (+ Miami)",HQ,Active,2018,"Emin Gun Sirer, Kevin Sekniqi, Ted Yin",Ava Labs raised $250M in Dec 2024 (Galaxy-led); Blizzard is a $200M+ Avalanche ecosystem fund (launched 2021),Ecosystem equity + tokens,Avalanche ecosystem,150+ Blizzard investments,Still deploying into the ecosystem,Galaxy led the Dec 2024 raise,Ecosystem events,S2
Winklevoss Capital / Gemini,"New York, NY (30 W 24th)",HQ,Active,2012,Cameron and Tyler Winklevoss,~172 investments; 24 exits,Family office VC; equity + BTC,"Crypto, space, energy, biotech",Broad portfolio,"Gemini Space Station (Nasdaq: GEMI) IPO priced at $28, above the $24-26 range, Sep 2025; 15,178,572 Class A shares; ~$425M raised at ~$3.3B valuation; reported 20x oversubscribed; Nasdaq committed a $50M private placement",,,S3,"Gemini stock later fell sharply; Winklevoss Capital injected $100M at $14/share in May 2026, paid in bitcoin"
Republic Capital / Crypto,"New York, NY",HQ,Active,Republic 2016; Capital arm 2019,"Organized as Republic Capital (multi-stage VC), Republic Digital (crypto hedge fund), Republic Crypto (advisory)","$2.6B+ deployed across 2,500+ ventures",Multi-stage; equity + tokens,Tokenized assets and retail platform push in 2026,Broad,Latest Republic Capital deal: Neblio Technologies (Oct 2025),"Backed by Galaxy, Binance, Naspers",Platform events,S2
White Star Capital DAF,"New York (DAF team; global firm: London, Paris, Montreal, Toronto, Tokyo, Singapore)",Team,Active (modest cadence),DAF I 2021,"Sep Alavi (Managing Partner); Eddie Lee, Luke Xiao (DAF team)","DAF I $50M (2021); DAF II $120M first close (2022, Ubisoft anchor)",Seed/A; equity + tokens,"DeFi, gaming","Ledn, RedStone, Etherfuse, Kulipa",Latest: Alfred (Jan 2026),Ubisoft anchored DAF II,,S3
DCG,"Stamford, CT (relocated from Manhattan 2021)",Metro,Active,2015,Barry Silbert,200+ investments; targeting a $1B Fund V per PitchBook,CVC/operator; venture equity + private tokens + event-driven plays,Broad digital assets,"Grayscale, Foundry, Luno",,,Metro-area coffee range,S3,Genesis went bankrupt in 2023; CoinDesk was sold
50T (ex-10T / 1RT),"Stamford/Greenwich, CT",Metro,Active,10T 2021; 1RT 2023; merged as 50T Jul 2025,Dan Tapiero,$500M growth-equity fund launched at the merger; ~$2B combined AUM,Growth equity; no tokens,Growth-stage digital assets,"Kraken, Yuga Labs, Animoca, Ledger, Ledn, Quicknode",,,,S3,Growth-stage crossover angle only
Bitkraft Ventures,Denver/Berlin (NYC is one of several offices),Office,Active,,Jens Hilgers (founder); Carlos Pereira leads web3,$1B+ AUM; Fund III $275M (2024) plus token funds,Web3 gaming; equity + tokens,Gaming and interactive media,Gaming portfolio,,,,Monitor,Gaming-only relevance
Metalayer,NYC-linked (verify HQ),Verify,Active (emerging),Recent,Founded by Two Sigma veterans,~$25M fund,Early-stage crypto,,The research associates the fund with Ethena and Clear Token; verify whether as backers or portfolio,,,,Monitor,Newly surfaced in the research; small but worth tracking as an emerging vehicle
Neoclassic Capital,"Miami, FL",NYC-connected,Active,2024,"Michael Bucella (ex-BlockTower), Steve Lee",,Early-stage crypto,Broad,Building,,Backers include Marc Andreessen and Chris Dixon personally,Bucella is NYC-visible and media-active,Monitor,The firm is Miami despite the NYC network
Breed VC,Boston/Miami roots (databases list Boston/NY),Listings vary,Active (small),,Jed Breed,Fund I $20M (2023); Fund II first close ~$13.6M (Nov 2025),Small early-stage,,Small portfolio,,"Fund I backed by Castle Island's Nic Carter and Matt Walsh, Tribe Capital, Shima Capital",,Monitor,The Castle Island connection ties into your Talos web
Syncracy Capital,"New York, NY",HQ,Not venture (liquid),,"Ryan Watkins, Daniel Cheung",~$230M AUM,Liquid token hedge fund,,,,,,Exclude,Exclude from VC targeting; the research output is still worth reading
Brevan Howard Digital,UK / Austin,No,Mostly liquid,,,"Fund fell 29.5% in 2025, its worst year since launch, driven by illiquid markdowns",Liquid with a minority venture sleeve,Shifting toward stablecoins and infrastructure,,,,,Exclude,Not an NYC venture target
NYDIG / Stone Ridge,"New York, NY",HQ,Not VC,,Ross Stevens,,"Bitcoin financial services: custody, mining, power",,,Acquired Crusoe's bitcoin mining operations (Mar 2025),,,Exclude,"Interesting company, wrong lane for VC targeting"
ProCap (Pompliano),"New York, NY",HQ,Not VC,,Anthony Pompliano,"$750M+ raised; SPAC merger completed Dec 2025 (Nasdaq: BRR, via Columbus Circle Capital Corp I)",Bitcoin treasury company,,,Shares fell sharply post-merger amid the broader derating of 2025-vintage bitcoin treasury companies,,,Exclude
Tusk Venture Partners,"New York, NY",HQ,Winding down VC,,"Bradley Tusk, Jordan Nof",Fund III (2022) announced as the last traditional venture fund,Pivoting to an equity-for-services regulatory consulting model,Regulatory-adjacent crypto historically,"Coinbase, Circle, Ripple (regulatory-adjacent)",,,,Exclude,Do not spend networking time here
Point72 Ventures,Stamford parent,No,Exited crypto VC,,,,"Now AI, defense, enterprise",,,Crypto and digital assets team laid off Jun 2024,,,Exclude,No active crypto VC

"Full-fidelity transfer of the Aug 22, 2026 deep research: complete fund lineages, founder rosters, LP compositions, and 2025-26 activity as reported. Blank cells mean the research did not surface that field, not that it does not exist. Fund sizes from third-party databases are approximate; confirm final closes with each firm before citing in conversation."
