Architect Partners,IB,3 - Network,Palo Alto,"Coinme, Caleb & Brown, Magic Labs mandates; market-map alerts cover the whole space","Engage the research; relationship built over time, not an application",2029+ landing spot,Their M&A alerts are your ongoing market map; they ran Magic Labs into the Kraken web
Areta,IB,3 - Network,"Berlin (Singapore, Dubai)","Self-reported 15+ mandates in 2025, $1B+ advised; Europe-weighted, smaller tickets",Network,Opportunistic,Your London and Europe years fit their footprint
Broadhaven,IB,3 - Network,New York,BitMEX sale mandate; ErisX-to-Cboe pedigree; Broadhaven Ventures under the same roof,One relationship serves advisory and venture tracks,Opportunistic,The quiet dual-track shop; fewer applicants think of it
Cohen & Co Capital Markets,IB,3 - Network,New York,DAT and de-SPAC co-leader: ProCap and Nakamoto lead FA; Stronghold sell-side,Watch postings plus outreach,Rolling,DAT-lane concentration carries derating risk
Canaccord Genuity,IB,3 - Network,Toronto (NYC group),Digital assets group; flow skews capital markets over M&A,Watch postings,Rolling,-
BTIG,IB,3 - Network,New York,Research-led digital assets banking; no disclosed M&A credits 2024-26,Watch postings,Rolling,-
Compass Point,IB,3 - Network,"Washington, DC",Co-FA to MARA (with Barclays) on the $1.5B Long Ridge buy,Watch postings,Rolling,-
CRB Securities,IB,3 - Network,"Fort Lee, NJ",Cross River's banking arm; ran the Reap sell-side with Goldman Sachs (Asia),Speculative approach; small enough that one conversation matters,Rolling,"If a franchise is being built, early joiners get outsized roles"
Aream & Co,IB,3 - Network,London,London digital asset boutique; no disclosed 2024-26 mandates surfaced,Network,Opportunistic,Direct London-network play
Kraken / Payward,Corp Dev,Exchange,SF / remote-first,Most acquisitive buyer in the dataset: 8+ deals in 18 months,Ecosystem network; watch strategy and corp dev postings around the listing,IPO window,Your CoS and interim-CFO-style work is the job description
Coinbase,Corp Dev,Exchange,Remote-first,Deribit ($2.9B) plus banker-less bolt-ons; corp dev and ventures are one org,Fall MBA internship applications plus alumni,Fall cycle,Study the Coinbase Ventures portfolio before interviews
Stripe,Corp Dev,Payments,SF / Dublin,Bridge ($1.1B) and Privy with no bankers disclosed; stablecoin thesis,Warm intros only; no MBA machine,Two-year project,Payments and tokenization story; treat as a relationship build
Ripple,Corp Dev,Infra / Payments,SF (NYC office),"Hidden Road ($1.25B), GTreasury ($1B), Rail, BC Payments; a deal a quarter",Postings plus network; integration experience is the wedge,Rolling,Your Optimus integration work maps directly; prime-brokerage fluency from COR PRIME
Mastercard,Corp Dev,TradFi,"Purchase, NY","BVNK up to $1.8B, its biggest crypto deal; Start Path accelerator",Structured MBA recruiting; corp dev and strategy tracks,Fall cycle,Most CBS-accessible corp dev door
Robinhood,Corp Dev,Broker,Menlo Park,"Bitstamp, WonderFi, TradePMR; outside banks plus inside corp dev",Postings plus network,Rolling,-
Circle,Corp Dev,Stablecoin,New York (One WTC),Hashnote and infrastructure bolt-ons; public-company stablecoin consolidation mandate,Postings plus NYC network,Rolling,Stablecoin thesis plus your regulated-product operating history
Figure,Corp Dev,Tokenization,San Francisco,Kiavi ($717M) with Sixth Street; tokenization consolidator,Network via the Kiavi advisor web,Deal-driven,Your ETC Group equity-tokenization platform work is directly relevant
Talos,Corp Dev,Infra (FROZEN),New York,"Cloudwall, Skolem, D3X, Coin Metrics; principal-to-principal, no bankers ever disclosed",POST-CLOSE ONLY: no contact while Project Optimus is live,After Optimus close,The warmest door available afterward; total discipline until signing
Galaxy Ventures,VC,One-roof,New York,"Fund I $175M+ (Jun 2025); stablecoins, payments, tokenization thesis",Same relationship as Galaxy IB; CVF-compatible,CVF Sept; rolling,"Your exit comps are their underwriting; one Galaxy relationship, three doors"
Fintech Collective,VC,Fintech VC,New York,Best pure stablecoins/payments thesis fit in NYC; capital markets DNA,"Newsletter, Layer One podcast, Stablecon",Rolling,Their capital-markets DNA matches your prime-lending seat
Archetype,VC,Independent,New York,"Fund III $100M+ (Sep 2025); stablecoins, payments infra, crypto x AI","Archebyte podcast, NYC in-person events",Rolling,-
Variant,VC,Independent,Brooklyn,Variant 4 $222M (Jun 2026); crypto x AI autonomy thesis,Thesis essays; writing-first outreach works here,Rolling,Write your way in; they reward essays
CoinFund,VC,Independent,Brooklyn,$550M+ across recent vehicles; venture plus liquid; market-structure focus,NYC events plus CVF; research and podcast engagement,CVF Sept,One of the few crypto funds a CBS student can see weekly
Portal Ventures,VC,Independent,New York,Fund II $75M (late 2024); pre-seed lead checks; fundamentals-driven,Fisher's writing and podcasts; MBA-friendly framing,Rolling,The most MBA-legible framing in the set; hires early-career
VanEck Ventures,VC,Corporate fund,New York,$30M debut fund; ex-Circle Ventures team; stablecoin/tokenization thesis,Media-active partners; direct outreach viable,Rolling,An ETP operator's story lands at an ETP house: your ETC Group years are the intro
6th Man Ventures,VC,Independent,New York,Fund II $145M; consumer and Solana-weighted,Dudas is highly public; NYC events,Rolling,-
North Island Ventures,VC,Independent,New York,~$300M AUM; stablecoin payments and interoperability thesis,Scher podcasts; watch for associate openings,Rolling,"A live seat to watch, not just a coffee: they have hired associates"
Dragonfly (NYC),VC,Bicoastal,NYC + Singapore,Fund IV $650M (Feb 2026); RWA and stablecoin pivot; ~$4B AUM,"Chopping Block podcast, research",Rolling,Note the DOJ / Tornado Cash caveat on one GP before any outreach there
Union Square Ventures,VC,Independent,New York,Thesis-driven; early Coinbase backer; still leading crypto rounds in 2025,CVF plus thoughtful written outreach; they reward writing,CVF Sept,-
Castle Island Ventures,VC,Independent,Boston,Backed both Talos and Coin Metrics; infrastructure-focused early stage,Engage On The Brink first; post-close Talos angle,Post-close,The fund behind your counterparty; likely your strongest single VC relationship
Coinbase Ventures,VC,CVC,SF / remote,Most active CVC in crypto; sits inside the corp dev org,Through Coinbase MBA channels,Fall,Double-counts with the Coinbase corp dev track
Kraken Ventures,VC,CVC,SF / remote,Standalone fund beside the most acquisitive corp dev team in crypto,Ecosystem network,Rolling,Double-counts with the Kraken corp dev track
Pantera Capital,VC,Independent,Menlo Park,Oldest dedicated crypto fund; venture plus liquid,Network; CVF thesis material travels well here,Rolling,-

"Static columns compiled Aug 22, 2026 from the lane tabs, Target Profiles, and the NYC fund research. HQ entries for Canaccord Genuity, BTIG, Compass Point, Robinhood, and Figure come from general knowledge, not the research; confirm before citing. Priority / Status / Next Step are live formulas into the lane tabs; keep working there."
