Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Bain Capital Crypto,SF + Boston,US West,Verify,Institutional crypto VC,Seed/A; equity + tokens; technical,"Infra, DeFi, cryptography",Stefan Cohen,Technical portfolio,$560M Fund I (2022),S2,K,,Door: Bain platform; institutional path; Institutional brand + crypto depth
Blockchain Capital,"San Francisco, CA",US West,-,Crypto-native VC,Early to growth; equity + tokens,"Infra, DeFi, consumer",Bart Stephens; Spencer Bogart,"Coinbase, Kraken, Aave (verify)",$580M raised 2023 (Fund VI + opp),S2,K,,Door: One of the oldest (2013); institutional; Long track record
Blockchange Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Early-stage; equity + tokens,Base layers / L1s,Ken Seiff,"Solana, Polkadot, Near, Arbitrum",Funds I-IV,S2,R,,Door: Seiff podcast-accessible; Full detail on VC Fund Database tab
CMT Digital,"Chicago, IL",US Other,-,Trading-family crypto VC,Early-stage equity + tokens,"Market structure, infra, policy",CMT Group lineage,Long crypto-native portfolio,n/a,S2,K,,Door: Market-structure DNA; strong thesis fit; Trading-firm capital speaks your language
Coinbase Ventures,SF / remote,US West,Office (Coinbase NYC),CVC,Equity + tokens,Broad; sits inside corp dev,-,Hundreds of portfolio cos,Most active crypto CVC,S2,R,,Door: Enter via Coinbase MBA channels; On VC Targets tab
Consensys / Mesh,"Brooklyn, NY",NYC,HQ,CVC + accelerator,Equity + tokens,Ethereum ecosystem,Joe Lubin,"MetaMask, Gnosis, Aztec",~138 positions,S2,R,,Door: Tachyon accelerator; Full detail on VC Fund Database tab
Delphi Ventures / Delphi Digital,"New York, NY",NYC,HQ,Research house + VC,Early-stage + research,Broad crypto; research-led,"Anil Lulla, Tommy Shaughnessy",Research franchise; DeFi/gaming bets,n/a,S2,K,,Door: Research engagement is the door; Reading their work doubles as CVF prep
Electric Capital,"Palo Alto, CA",US West,Verify,Crypto-native VC,Seed/A; equity + tokens; developer-data-driven,"Developer ecosystems, infra","Avichal Garg, Curtis Spencer",Developer Report franchise; broad infra,~$1B across funds (verify),S2,K,,Door: Developer Report = conversation currency; Their annual report is required reading
Framework Ventures,"San Francisco, CA",US West,Verify,Crypto-native VC,Thesis-driven; equity + tokens,"DeFi, gaming, RWA-curious","Michael Anderson, Vance Spencer","Chainlink, Synthetix, Aave (early)",Fund III $400M (2022),S2,K,,Door: DeFi-native credibility; DeFi pioneer fund
Hack VC,"San Francisco, CA",US West,-,Crypto-native VC,Seed; equity + tokens,"Crypto x AI, infra, DeFi",Ed Roman,Broad seed portfolio; active 2024-25,~$400M+ (verify),S2,K,,Door: High-volume seed; approachable; Among the most active seed funds recently
Haun Ventures,"San Francisco, CA",US West,Verify,Crypto-native VC,Early + acceleration; equity + tokens,"Consumer crypto, infra, policy-forward","Katie Haun (ex-a16z, ex-DOJ)","Aptos, Zora, OpenSea (verify current)",$1.5B (2022 funds),S2,K,,Door: Policy/regulatory angle; strong brand; Raised at peak; pace steadied since
Kraken Ventures,SF / remote,US West,People (verify),CVC,Early-stage,Fintech + crypto,-,-,Standalone fund,S2,R,,Door: Ecosystem network; On VC Targets tab; double-counts with corp dev
Liberty City Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Early-stage equity,Digital assets infrastructure,Emil Woods,"Paxos, Lukka (early backers)",n/a,S2,K,,Door: Quiet NYC shop; network play; Verify current fund activity
Multicoin Capital,"Austin, TX",US Other,Verify,Crypto-native VC + liquid,Thesis-concentrated; equity + tokens + liquid,"Solana ecosystem, DePIN, infra","Kyle Samani, Tushar Jain","Solana (early), Helium, Wormhole",Fund III $430M (2022),S2,K,,Door: Prolific public theses; engage in writing; Highest-conviction public writers in the set
North Island Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Early-stage; $250K-3M checks,"Stablecoin payments, interoperability, DeFi","Travis Scher, Glenn Hutchins","Axelar, Flow, Ether.fi, Utila",~$300M AUM,S2,R,,Door: Has advertised associate roles; Full detail on VC Fund Database tab
Pantera Capital,"Menlo Park, CA",US West,Office (verify),Crypto-native VC + liquid,Venture + liquid,Broad digital assets since 2013,"Dan Morehead, Paul Veradittakit","Circle, Ondo, many",Multi-$B platform; Fund V in market (verify),S2,R,,Door: Thesis material travels; on VC Targets tab; Oldest dedicated crypto fund
Paradigm,"San Francisco, CA",US West,Verify,Crypto-native mega-fund,Seed to growth; equity + tokens; deep technical,"Frontier crypto: infra, DeFi, MEV, policy",Matt Huang; Fred Ehrsam (co-founder),"Uniswap, Optimism, Flashbots, Blur, Farcaster",~$10B+ AUM era; Fund III $850M (2024),S2,K,,Door: Elite; rare MBA hires but fellowships/research exist; The reference crypto fund; engage via research
PayPal Ventures,"San Jose, CA",US West,Office (Venmo NYC),Payments CVC,Equity,"Fintech, stablecoin ecosystem (PYUSD)",-,Stablecoin/payments bets,n/a,S2,K,,Door: MBA-friendly parent; On Corp Dev working tab as PayPal
Placeholder,"New York, NY",NYC,HQ,Crypto-native hybrid,Long-hold venture + liquid,Thesis-driven protocols,"Chris Burniske, Joel Monegro","Ethereum, Solana, Celestia, Monad",~$150M,S2,R,,Door: Research library; slower cadence; Full detail on VC Fund Database tab
Polychain Capital,"San Francisco, CA",US West,-,Crypto-native VC + liquid,Venture + liquid,"Protocols, infra",Olaf Carlson-Wee,"dYdX, Compound, Avalanche (early)",Multi-$B peak AUM,S2,K,,Door: Small team; research-led; Venture + liquid blend
QED Investors,"Alexandria, VA",US Other,Verify,Fintech specialist VC,Seed to growth equity,Global fintech; stablecoin-curious,Nigel Morris,LatAm fintech depth (Nubank etc.),Multi-$B,S2,K,,Door: MBA-friendly; LatAm overlap; Brazil fintech web overlaps your background
Reciprocal Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Pre-seed/seed; equity + tokens,"DeFi, institutional capital markets, payments","Michael Steinberg, Craig Burel","Solana (seed), The Graph",Fund III raising ~$100M,S2,R,,Door: Diffusion-thesis research; Full detail on VC Fund Database tab
Republic Capital / Crypto,"New York, NY",NYC,HQ,Multi-stage platform,Equity + tokens,Tokenized assets push,-,Broad,$2.6B+ deployed,S2,R,,Door: Platform events; Full detail on VC Fund Database tab
Ribbit Capital,"Menlo Park, CA",US West,-,Fintech elite w/ crypto,Seed to growth equity,Global fintech; crypto conviction cycles,Micky Malka,"Coinbase, Robinhood, Nubank, Revolut",Multi-$B,S2,K,,Door: Elite fintech door; MBA-plausible; Fintech-crypto crossover royalty
RRE Ventures,"New York, NY",NYC,HQ,Generalist w/ crypto,Seed/A equity,Generalist + crypto focus area,Long-standing partnership,"Ripple, Paxos, Blockdaemon, Bitnomial",~$2.5B AUM,S2,R,,Door: NYC brand; Full detail on VC Fund Database tab
Valor Capital Group,"New York, NY",NYC,HQ,US-LatAm crossover,Multi-stage equity,Crypto opportunistic,Sobel family,"Coinbase, Bitso",~$2.2B AUM,S2,R,,Door: Brazil angle is differentiated; Full detail on VC Fund Database tab
Visa Ventures,"San Francisco, CA",US West,Office (verify),Payments CVC,Equity,"Stablecoin settlement, payments infra",Cuy Sheffield (crypto lead),Stablecoin infra bets,n/a,S2,K,,Door: Visa crypto team hires; MBA-friendly parent; On Corp Dev working tab as Visa
1confirmation,"San Francisco, CA",US West,-,Crypto-native VC (small),Seed; concentrated,"Consumer crypto, NFTs, ETH-aligned",Nick Tomaino,"OpenSea, dYdX (early)",~$100M+ funds,S3,K,,Door: Small; essay culture; Writing-first outreach
50T (ex-10T/1RT),"Stamford, CT",US Metro,Metro,Growth equity,Growth; no tokens,Growth-stage digital assets,Dan Tapiero,"Kraken, Ledger, Yuga",$500M fund; ~$2B AUM,S3,R,,Door: Growth crossover only; Full detail on VC Fund Database tab
a16z Crypto Startup School (CSX),NYC + SF,NYC,Cohorts in NYC,Accelerator,Accelerator + checks,Crypto startups,-,Cohort network,Cohort-based,S3,K,,Door: NYC cohorts; recruiting surface; Also an a16z relationship surface
Alliance DAO,Remote / NYC events,Global,Events/cohorts in NYC,Crypto accelerator,Pre-seed accelerator,Top crypto accelerator,"Qiao Wang, Imran Khan",Strong founder network,n/a,S3,K,,Door: Their demo days = deal flow map; Watching their cohorts = seeing next year's deals
Amex Ventures,"New York, NY",NYC,HQ,Payments CVC,Equity,Fintech; selective crypto,-,-,n/a,S3,K,,Door: NYC; MBA-friendly parent
Bain Capital Ventures (fintech),Boston + NYC + SF,US Other,Office,Generalist w/ fintech depth,Multi-stage equity,Fintech infra; stablecoin bets,-,Fintech infra portfolio,Multi-$B,S3,K,,Door: MBA-friendly platform; Distinct from Bain Capital Crypto
Chapter One,"Los Angeles, CA",US West,-,Product-led seed,Seed,Consumer crypto + product,Jeff Morris Jr.,Consumer bets,n/a,S3,K,,Door: Product angle
Circle Ventures,"New York, NY",NYC,HQ,CVC,CVC equity,USDC ecosystem,-,Zodia Markets,~9 investments,S3,R,,Door: Thin after team exits; Full detail on VC Fund Database tab
Citi Ventures,"New York, NY",NYC,HQ,Bank CVC,Equity,Fintech; tokenization-curious,-,-,n/a,S3,K,,Door: Bank platform door
CME Ventures,"Chicago, IL",US Other,Office,Exchange CVC,Equity,Market infrastructure,-,Digital-asset infra bets,n/a,S3,K,,Door: TradFi market-structure door
CoinShares Ventures,London / Jersey,Europe,Office (verify),Corporate VC,Equity,Digital asset infra,CoinShares (listed),ETP-adjacent bets,n/a,S3,K,,Door: ETP-house overlap with your ETC years
Compound VC,"New York, NY",NYC,HQ,Thesis-driven seed,Seed equity,Frontier tech incl. crypto,Michael Dempsey,Crypto + frontier bets,n/a,S3,K,,"Door: Writing culture; Adjacent, not crypto-pure"
Deviation Capital (ex-Two Sigma V),"New York, NY",NYC,HQ,Generalist w/ crypto sleeve,Equity,~15% crypto/web3,-,"Pyth, Omni",~$400M (2022),S3,R,,Door: Verify rebrand; Full detail on VC Fund Database tab
Digital Currency Group,"Stamford, CT",US Metro,Metro,CVC / operator,Venture equity + tokens + event-driven,Broad digital assets,Barry Silbert,"Grayscale, Foundry, Luno",200+ investments; Fund V ~$1B target,S3,R,,Door: Metro coffee range; Full detail on VC Fund Database tab
DRW Venture Capital,"Chicago, IL",US Other,Office (via DRW NYC),Prop-firm VC (Cumberland),Equity,"Market infra, digital assets",DRW/Cumberland lineage,"ErisX (historic), infra bets",n/a,S3,K,,Door: Cumberland adjacency
Fabric Ventures,"London, UK",Europe,-,Crypto-native VC,Seed; equity + tokens,"Open economy, infra",Richard Muirhead,Polkadot-era to present,"~$245M (2022, verify)",S3,K,,Door: London network fits your base
Figment Capital,"New York, NY",NYC,HQ,Crypto-native VC (small),Early-stage,Proof-of-stake / infra,Linked to Figment (staking),Infra bets,n/a,S3,K,,Door: Small team; Verify independence from Figment Inc
Founders Fund,"San Francisco, CA",US West,Verify,Generalist w/ BTC conviction,Multi-stage equity,"Contrarian; bitcoin, Polymarket",Peter Thiel; team,"Polymarket, bitcoin positions",Multi-$B,S3,K,,Door: Elite; network entry
Franklin Templeton (digital assets),"San Mateo, CA",US West,Office,Asset-manager strategic,Fund investments + strategic,"Tokenization (BENJI), funds",Roger Bayston (verify),On-chain money fund pioneer,n/a,S3,K,,Door: Asset-mgmt door; tokenization thesis
Galaxy Interactive,"New York, NY",NYC,HQ,Gaming/interactive fund,Equity + tokens,"Games, interactive, metaverse-era",Sam Englebardt,Gaming portfolio,$650M+ across funds (verify),S3,K,,Door: Galaxy relationship compounding; Same roof as your Galaxy targets
General Catalyst,SF + NYC,US West,Office,Generalist mega-fund,Multi-stage,Fintech + selective crypto,-,"Circle (early backer, verify)",Multi-$B,S3,K,,Door: Large MBA-friendly platform
Goldman Sachs (strategic/growth),"New York, NY",NYC,HQ,Bank strategic investor,Growth equity,"Market infra, digital assets",-,"Coin Metrics, Anchorage (verify rounds)",n/a,S3,K,,Door: GS platform door; TradFi lane
gumi Cryptos Capital (gCC),SF + Tokyo,US West,-,Crypto-native VC,Seed,"Infra, DeFi, Japan bridge",Miko Matsumura,Broad seed,~$150M+ funds (verify),S3,K,,Door: Japan angle
Hivemind Capital,"New York, NY",NYC,HQ,Multi-strategy hybrid,Venture sleeve + liquid + trading,Multi-strategy digital assets,Matt Zhang,Varied,$1.5B launch mandate,S3,R,,Door: Institutional; less founder-facing; Full detail on VC Fund Database tab
ICE / NYSE strategic,Atlanta / NYC,US Other,HQ (NYSE),Exchange strategic,Strategic stakes,Market infra; prediction markets,-,"Bakkt; Polymarket stake (2025, verify)",n/a,S3,K,,Polymarket bet signals conviction
Index Ventures,SF + London,US West,Office,Generalist w/ crypto bets,Multi-stage equity,Selective crypto/fintech,-,"Bridge (-> Stripe), fintech heavy",Multi-$B,S3,K,,Door: Elite generalist door
Insight Partners,"New York, NY",NYC,HQ,Growth w/ crypto episodic,Growth equity,Crypto opportunistic,-,TaxBit; FTX (historic),~$90B AUM,S3,R,,Door: Portal's Fisher is an alum; Full detail on VC Fund Database tab
Jump Capital / Jump Crypto,"Chicago, IL",US Other,Office (via Jump NYC),Prop-firm VC + builder,Equity + tokens + building,"Infra, DeFi, Solana ecosystem",-,"Pyth ecosystem, Wormhole (rebuilt)",n/a,S3,K,,Door: Engineering-heavy; Post-2022 rebuild; verify current posture
L1 Digital (L1D),"Zurich, CH",Europe,-,Fund-of-funds + direct,FoF + co-invest,Crypto funds universe,Ray Hindi,-,~$1B+ AUM (verify),S3,K,,Door: Knows every fund: meta-networking; A FoF conversation maps the whole industry
Laser Digital (Nomura),London / Dubai,Europe,Verify,Bank-owned digital assets,Venture + trading,Digital asset infra,Jez Mohideen,Infra bets,n/a,S3,K,,Door: TradFi-crypto bridge employer
M31 Capital,"New York, NY",NYC,HQ,Multi-strategy hybrid,Venture sleeve; liquid-heavy,Broad web3,Nathan Montone,"Huddle01, Euler",~$100M Web3 fund,S3,R,,Door: Modest cadence; Full detail on VC Fund Database tab
Maven 11,"Amsterdam, NL",Europe,-,Crypto-native VC,Seed/A; equity + tokens,"DeFi, infra, credit",-,"Maple, credit protocols (verify)",~$120M+ funds (verify),S3,K,,Door: Lending-protocol thesis overlap
Motive Partners,NYC + London,NYC,HQ,Fintech PE / growth,Growth/buyout,Financial infrastructure; tokenization-curious,Rob Heyvaert,Capital-markets platforms,Multi-$B,S3,K,,Door: PE-track MBAs; not crypto-pure; Relevant if growth/PE lane opens
Nasdaq Ventures,"New York, NY",NYC,HQ,Exchange CVC,Equity,"Market tech, digital assets",-,"Gemini placement ($50M, 2025 IPO)",n/a,S3,K,,Door: NYC TradFi door
Race Capital,"San Francisco, CA",US West,-,Infra-focused seed,Seed,"Infra, data, crypto-adjacent",Alfred Chuang,Solana (early),n/a,S3,K,,Door: Infra angle
RippleX / Ripple investments,"San Francisco, CA",US West,Office (via Ripple NYC),CVC / ecosystem,Equity + XRPL grants,"XRPL ecosystem, payments",-,Ecosystem grants + corp dev overlap,n/a,S3,K,,Door: Enter via Ripple corp dev lane; Double-counts with Corp Dev tab
SC Ventures (Standard Chartered),Singapore / London,Europe,-,Bank venture builder,Build + invest,Digital assets ventures,-,Built Zodia Custody & Zodia Markets,n/a,S3,K,,Door: Venture-building model worth studying; Zodia web connects to Deal Evidence
Sequoia Capital,"Menlo Park, CA",US West,"Office (opened ~2024, verify)",Generalist mega-fund,Multi-stage equity,Selective crypto (post-FTX chastened),-,"Fireblocks, Polygon (verify), FTX (writedown)",Multi-$B,S3,K,,Door: Elite generalist door; Crypto selective
Shima Capital,"San Francisco, CA",US West,-,Crypto-native seed,High-volume seed,Broad web3,Yida Gao,Large seed portfolio,$200M Fund I (2022),S3,K,,Door: Volume player; Verify current pace
Slow Ventures,SF / Boston / NYC,US West,People (verify),Generalist w/ crypto sleeve,Seed,Contrarian consumer + crypto,Sam Lessin,"Solana (early), social bets",n/a,S3,K,,Door: Essay culture; Crypto is a sleeve
Spartan Group,Singapore,Asia,-,Crypto-native VC + advisory,Venture + advisory + liquid,"DeFi, gaming, infra",Kelvin Koh,DeFi portfolio,n/a,S3,K,,Door: Advisory arm does crypto M&A - watch; Their advisory practice overlaps your IB lane
Standard Crypto,"San Francisco, CA",US West,-,Crypto-native VC,Concentrated; equity + tokens,"Infra, DeFi","Adam Goldberg, Alok Vasudev",Concentrated portfolio,~$1B+ across funds (verify),S3,K,,"Door: Low-profile, high-conviction; Quiet; warm intro needed"
Tribe Capital,"San Jose, CA",US West,-,Data-driven VC w/ crypto,Multi-stage,Data-driven; crypto sleeve,Arjun Sethi (also Kraken co-CEO),Kraken (large position),n/a,S3,K,,Door: Kraken web overlap; Sethi bridge to Kraken
Volt Capital,"San Francisco, CA",US West,-,Crypto-native VC (small),Seed,"Infra, DeFi",Soona Amhaz,Seed portfolio,"$50M (2022, verify)",S3,K,,Door: Small; community-led
White Star Capital DAF,"New York, NY",NYC,Team,"Global fund, NYC team",Seed/A; equity + tokens,"DeFi, gaming",Sep Alavi,"Ledn, RedStone",DAF II $120M first close,S3,R,,Door: Modest cadence; Full detail on VC Fund Database tab
Winklevoss Capital,"New York, NY",NYC,HQ,Family office VC,Equity + BTC,"Crypto, space, energy",Cameron & Tyler Winklevoss,Broad,~172 investments,S3,R,,Door: Gemini-linked; Full detail on VC Fund Database tab
1kx,"Berlin, DE",Europe,People (verify),Crypto-native VC,Seed/A; token networks,Token networks,"Lasse Clausen, Christopher Heymann","Celestia, Arweave, LI.FI",$75M (2024),Monitor,R,,Door: Not NYC in practice; Berlin HQ despite NY listings
8VC,"Austin, TX",US Other,Office (verify),Generalist w/ crypto-adjacent,Multi-stage,"Fintech infra, defense; stablecoin-curious",Joe Lonsdale,Synthetic-dollar adjacency (verify),Multi-$B,Monitor,K
Animoca Brands,Hong Kong,Asia,-,Operator + investor,Equity + tokens,"Gaming, metaverse-era, consumer",Yat Siu,"Sandbox, gaming universe",400+ investments,Monitor,K,,Door: Gaming only
Apollo Crypto,"Melbourne, AU",Oceania,-,Crypto-native VC + liquid,Venture + liquid,Broad,-,-,n/a,Monitor,K
Aptos (ecosystem investing),"Palo Alto, CA",US West,-,Ecosystem fund,Equity + tokens,Aptos ecosystem,Avery Ching,-,n/a,Monitor,K
Arca,"Los Angeles, CA",US West,-,Asset manager + venture,Liquid + venture sleeve,"Digital assets, funds","Rayne Steinberg, Jeff Dorman",-,n/a,Monitor,K,,Door: Research notes are useful; Liquid-leaning
Arrington Capital,"Seattle, WA",US Other,-,Crypto-native VC + liquid,Venture + liquid,"L1s, infra","Michael Arrington, Ninor Mansor",Broad,n/a,Monitor,K
Bitkraft Ventures,Denver/Berlin,US Other,Office,Gaming specialist,Equity + tokens,Web3 gaming,"Jens Hilgers, Carlos Pereira",Gaming portfolio,$1B+ AUM,Monitor,R,,Door: Gaming-only relevance; NYC is a satellite office
Bloccelerate VC,"Seattle, WA",US Other,-,Crypto-native VC (small),Seed,Infra,Kate Mitselmakher,-,n/a,Monitor,K
Blue Yard Capital,"Berlin, DE",Europe,-,Thesis-driven seed,Seed,"Decentralization, frontier",Ciaran O'Leary,Protocol bets,n/a,Monitor,K
Boost VC,"San Mateo, CA",US West,-,Accelerator + seed,Pre-seed accelerator,Sci-fi tech incl. crypto,Adam Draper,Long crypto history (2014+),n/a,Monitor,K,,Door: Accelerator network
Breed VC,Boston/Miami,US Other,Verify (listings vary),Crypto-native VC (small),Early-stage,Broad,Jed Breed,Castle Island-backed,Fund I $20M; Fund II ~$13.6M FC,Monitor,R,,Door: Small; Ties into the Castle Island web
Clocktower Technology Ventures,"Santa Monica, CA",US West,-,Macro-fintech VC,Seed/A,Fintech; LatAm program,Ben Savage,LatAm fintech,n/a,Monitor,K,,Door: LatAm angle
CMS Holdings,"New York, NY",NYC,HQ,Prop / liquid hybrid,Liquid + some venture,Broad crypto,Dan Matuszewski,-,n/a,Monitor,K,,Door: Not a hiring door; network/market color; Liquid-first
Coatue,"New York, NY",NYC,HQ,Crossover w/ crypto history,Growth + liquid,AI core; crypto episodic,-,OpenSea era bets,Multi-$B,Monitor,K
Colosseum,Remote / global,Global,-,Solana accelerator + fund,Hackathon-to-fund,Solana ecosystem,Matty Taylor,Solana startup pipeline,n/a,Monitor,K,,Door: Pairs with 6MV Solana weighting
CV VC,"Zug, CH",Europe,-,Crypto-native VC + accelerator,Seed,Crypto Valley ecosystem,Mathias Ruch,-,n/a,Monitor,K
Cypher Capital,"Dubai, UAE",MEA,-,Crypto-native VC,Seed,Broad web3,-,-,n/a,Monitor,K
Draper Associates,"San Mateo, CA",US West,-,Family of funds,Seed,Bitcoin-forward,Tim Draper,"Coinbase (early), bitcoin bets",n/a,Monitor,K,,Door: Brand only
Fenbushi Capital,Shanghai / Singapore,Asia,-,Crypto-native VC (oldest Asia),Equity + tokens,Blockchain broad,Bo Shen,Ethereum-era history,n/a,Monitor,K
Fin Capital,"San Francisco, CA",US West,Verify,Fintech VC,Multi-stage,B2B fintech; digital assets sleeve,Logan Allin,-,n/a,Monitor,K
Foresight Ventures,Singapore,Asia,-,Crypto-native VC,Seed/A,"Infra, Asia-US bridge",-,The Block (majority owner!),n/a,Monitor,K,,Door: Media asset connection; Owns The Block - Dudas history
Further Ventures,"Abu Dhabi, UAE",MEA,-,ADQ-backed VC + studio,Venture + build,"Digital assets, fintech market infra",-,Stablecoin/market-infra bets,n/a,Monitor,K,,Door: ADGM regime; capital-rich; Gulf capital increasingly active in your thesis area
Greenfield Capital,"Berlin, DE",Europe,-,Crypto-native VC,Seed/A; equity + tokens,"Open-source infra, ETH-aligned","Sebastian Blum, Jascha Samadi",Infra portfolio,EUR 160M Fund III (verify),Monitor,K,,Door: Leading German crypto fund; Europe network relevance
GV (Google Ventures),"Mountain View, CA",US West,Office,CVC generalist,Multi-stage,Selective crypto infra,-,"Dapper, Blockchain.com (verify)",Multi-$B,Monitor,K
Hashed,"Seoul, KR",Asia,-,Crypto-native VC,Seed to A; equity + tokens,"Korea + global web3, gaming",Simon Kim,Korean ecosystem + global bets,~$570M across funds (verify),Monitor,K,,Door: Korea bridge
Hashed Emergent,"Bangalore, IN",Asia,-,Crypto-native VC,Seed,India web3,-,-,n/a,Monitor,K
HashKey Capital,Hong Kong,Asia,People (verify),Crypto-native VC + platform,Multi-stage; equity + tokens,Asia institutional crypto,Deng Chao,Broad Asia portfolio,~$1B AUM (verify),Monitor,K,,Door: HK licensing regime knowledge
IOSG Ventures,Singapore / Shenzhen,Asia,-,Crypto-native VC,Seed; research-driven,"Infra, ZK, DeFi",Jocy Lin,Infra-heavy portfolio,n/a,Monitor,K
Khosla Ventures,"Menlo Park, CA",US West,-,Generalist w/ crypto bets,Multi-stage,Deep tech; selective crypto/stablecoin,-,"OpenSea (verify), stablecoin bets",Multi-$B,Monitor,K
KR1,Isle of Man / UK,Europe,-,Listed crypto investor,Tokens + equity,"Staking, protocols",-,Long protocol list,Listed vehicle,Monitor,K
